system:index,AOT,B1,B12,B2,B3,B4,B5,B6,B7,B8,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,id,lake,lat,lon,.geo
52,184.0,530.0,75.0,481.0,676.0,375.0,592.0,312.0,298.0,241.0,0.0,0.0,0.0,0.0,0.0,6.0,49.0,69.0,39.0,1998.0,20190713T101031_20190713T101515_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
53,84.0,143.0,30.0,136.0,281.0,164.0,328.0,127.0,138.0,106.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,29.0,17.0,1528.0,20190921T101031_20190921T101152_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
54,66.0,398.0,459.0,541.0,618.0,487.0,574.0,594.0,646.0,728.0,0.0,0.0,0.0,0.0,2048.0,10.0,55.0,63.0,48.0,668.0,20190512T102029_20190512T102248_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
55,96.0,1544.0,1915.0,2742.0,2326.0,2014.0,2128.0,2434.0,2547.0,3898.0,41.0,0.0,0.0,0.0,0.0,8.0,255.0,237.0,205.0,1161.0,20190906T101029_20190906T101026_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
56,90.0,2172.0,2393.0,3168.0,2576.0,2230.0,2821.0,3157.0,3176.0,4208.0,86.0,0.0,0.0,0.0,0.0,9.0,255.0,255.0,227.0,1165.0,20190906T101029_20190906T101026_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
57,183.0,531.0,75.0,482.0,662.0,368.0,580.0,295.0,299.0,241.0,0.0,0.0,0.0,0.0,0.0,6.0,49.0,68.0,38.0,1985.0,20190713T101031_20190713T101515_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
58,83.0,262.0,73.0,143.0,106.0,75.0,119.0,89.0,82.0,65.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,11.0,8.0,616.0,20190114T101351_20190114T101352_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
59,102.0,290.0,45.0,325.0,385.0,250.0,294.0,164.0,169.0,130.0,0.0,0.0,0.0,0.0,0.0,6.0,35.0,42.0,28.0,2091.0,20190601T102029_20190601T102031_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
60,66.0,418.0,491.0,575.0,650.0,522.0,660.0,660.0,712.0,742.0,0.0,0.0,0.0,0.0,2048.0,10.0,59.0,66.0,54.0,669.0,20190512T102029_20190512T102248_T33UUU,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
61,101.0,1471.0,1988.0,1644.0,1788.0,1886.0,2319.0,2675.0,2831.0,2470.0,38.0,0.0,0.0,0.0,0.0,8.0,168.0,182.0,192.0,1113.0,20190320T101029_20190320T101437_T32UQD,Netzener_See,52.351448671966835,12.70452365174242,"{""type"":""Point"",""coordinates"":[12.704523651742422,52.351448671966835]}"
